              x     u_solution   u_analytical  log10(relErr)
    0.024902490     0.19553806     0.19553808     -7.0790944
    0.025002500     0.19621731     0.19621732     -7.0790944
    0.025102510     0.19689577     0.19689579     -7.0790944
    0.025202520     0.19757346     0.19757347     -7.0790944
    0.025302530     0.19825037     0.19825038     -7.0790944
    0.025402540     0.19892650     0.19892652     -7.0790944
    0.025502550     0.19960186     0.19960187     -7.0790944
    0.025602560     0.20027644     0.20027645     -7.0790944
    0.025702570     0.20095024     0.20095026     -7.0790944
    0.025802580     0.20162328     0.20162329     -7.0790944
    0.025902590     0.20229554     0.20229555     -7.0790944
    0.026002600     0.20296703     0.20296704     -7.0790944
    0.026102610     0.20363774     0.20363776     -7.0790944
    0.026202620     0.20430769     0.20430771     -7.0790944
    0.026302630     0.20497687     0.20497689     -7.0790944
    0.026402640     0.20564528     0.20564530     -7.0790944
    0.026502650     0.20631292     0.20631294     -7.0790944
    0.026602660     0.20697979     0.20697981     -7.0790944
    0.026702670     0.20764590     0.20764592     -7.0790944
    0.026802680     0.20831124     0.20831126     -7.0790944
    0.026902690     0.20897582     0.20897583     -7.0790944
    0.027002700     0.20963963     0.20963964     -7.0790944
    0.027102710     0.21030267     0.21030269     -7.0790944
    0.027202720     0.21096496     0.21096498     -7.0790944
    0.027302730     0.21162648     0.21162650     -7.0790944
    0.027402740     0.21228725     0.21228726     -7.0790944
    0.027502750     0.21294725     0.21294727     -7.0790944
    0.027602760     0.21360649     0.21360651     -7.0790944
    0.027702770     0.21426497     0.21426499     -7.0790944
    0.027802780     0.21492270     0.21492272     -7.0790944
    0.027902790     0.21557966     0.21557968     -7.0790944
    0.028002800     0.21623588     0.21623589     -7.0790944
    0.028102810     0.21689133     0.21689135     -7.0790944
    0.028202820     0.21754603     0.21754605     -7.0790944
    0.028302830     0.21819998     0.21819999     -7.0790944
    0.028402840     0.21885317     0.21885318     -7.0790944
    0.028502850     0.21950561     0.21950562     -7.0790944
    0.028602860     0.22015729     0.22015731     -7.0790944
    0.028702870     0.22080823     0.22080825     -7.0790944
    0.028802880     0.22145841     0.22145843     -7.0790944
    0.028902890     0.22210785     0.22210786     -7.0790944
    0.029002900     0.22275653     0.22275655     -7.0790944
    0.029102910     0.22340447     0.22340449     -7.0790944
    0.029202920     0.22405166     0.22405168     -7.0790944
    0.029302930     0.22469810     0.22469812     -7.0790944
    0.029402940     0.22534380     0.22534382     -7.0790944
    0.029502950     0.22598875     0.22598877     -7.0790944
    0.029602960     0.22663295     0.22663297     -7.0790944
    0.029702970     0.22727642     0.22727644     -7.0790944
    0.029802980     0.22791914     0.22791916     -7.0790944
    0.029902990     0.22856111     0.22856113     -7.0790944
    0.030003000     0.22920235     0.22920237     -7.0790944
    0.030103010     0.22984284     0.22984286     -7.0790944
    0.030203020     0.23048260     0.23048262     -7.0790944
    0.030303030     0.23112161     0.23112163     -7.0790944
    0.030403040     0.23175989     0.23175991     -7.0790944
    0.030503050     0.23239742     0.23239744     -7.0790944
    0.030603060     0.23303423     0.23303424     -7.0790944
    0.030703070     0.23367029     0.23367031     -7.0790944
    0.030803080     0.23430562     0.23430564     -7.0790944
    0.030903090     0.23494021     0.23494023     -7.0790944
    0.031003100     0.23557407     0.23557409     -7.0790944
    0.031103110     0.23620720     0.23620722     -7.0790944
    0.031203120     0.23683959     0.23683961     -7.0790944
    0.031303130     0.23747125     0.23747127     -7.0790944
    0.031403140     0.23810218     0.23810220     -7.0790944
    0.031503150     0.23873238     0.23873240     -7.0790944
    0.031603160     0.23936184     0.23936186     -7.0790944
    0.031703170     0.23999058     0.23999060     -7.0790944
    0.031803180     0.24061859     0.24061861     -7.0790944
    0.031903190     0.24124588     0.24124590     -7.0790944
    0.032003200     0.24187243     0.24187245     -7.0790944
    0.032103210     0.24249826     0.24249828     -7.0790944
    0.032203220     0.24312337     0.24312339     -7.0790944
    0.032303230     0.24374775     0.24374777     -7.0790944
    0.032403240     0.24437140     0.24437142     -7.0790944
    0.032503250     0.24499434     0.24499436     -7.0790944
    0.032603260     0.24561654     0.24561657     -7.0790944
    0.032703270     0.24623803     0.24623805     -7.0790944
    0.032803280     0.24685880     0.24685882     -7.0790944
    0.032903290     0.24747884     0.24747886     -7.0790944
    0.033003300     0.24809817     0.24809819     -7.0790944
    0.033103310     0.24871678     0.24871680     -7.0790944
    0.033203320     0.24933467     0.24933469     -7.0790944
    0.033303330     0.24995184     0.24995186     -7.0790944
    0.033403340     0.25056829     0.25056831     -7.0790944
    0.033503350     0.25118403     0.25118405     -7.0790944
    0.033603360     0.25179905     0.25179907     -7.0790944
    0.033703370     0.25241336     0.25241338     -7.0790944
    0.033803380     0.25302695     0.25302697     -7.0790944
    0.033903390     0.25363983     0.25363985     -7.0790944
    0.034003400     0.25425200     0.25425202     -7.0790944
    0.034103410     0.25486346     0.25486348     -7.0790944
    0.034203420     0.25547420     0.25547422     -7.0790944
    0.034303430     0.25608424     0.25608426     -7.0790944
    0.034403440     0.25669356     0.25669358     -7.0790944
    0.034503450     0.25730218     0.25730220     -7.0790944
    0.034603460     0.25791008     0.25791011     -7.0790944
    0.034703470     0.25851728     0.25851731     -7.0790944
    0.034803480     0.25912378     0.25912380     -7.0790944
    0.034903490     0.25972956     0.25972958     -7.0790944
    0.035003500     0.26033464     0.26033467     -7.0790944
    0.035103510     0.26093902     0.26093904     -7.0790944
    0.035203520     0.26154269     0.26154271     -7.0790944
    0.035303530     0.26214566     0.26214568     -7.0790944
    0.035403540     0.26274793     0.26274795     -7.0790944
    0.035503550     0.26334949     0.26334951     -7.0790944
    0.035603560     0.26395035     0.26395037     -7.0790944
    0.035703570     0.26455051     0.26455054     -7.0790944
    0.035803580     0.26514998     0.26515000     -7.0790944
    0.035903590     0.26574874     0.26574876     -7.0790944
    0.036003600     0.26634680     0.26634683     -7.0790944
    0.036103610     0.26694417     0.26694419     -7.0790944
    0.036203620     0.26754084     0.26754086     -7.0790944
    0.036303630     0.26813681     0.26813684     -7.0790944
    0.036403640     0.26873209     0.26873211     -7.0790944
    0.036503650     0.26932667     0.26932670     -7.0790944
    0.036603660     0.26992056     0.26992058     -7.0790944
    0.036703670     0.27051376     0.27051378     -7.0790944
    0.036803680     0.27110626     0.27110628     -7.0790944
    0.036903690     0.27169807     0.27169809     -7.0790944
    0.037003700     0.27228919     0.27228921     -7.0790944
    0.037103710     0.27287961     0.27287964     -7.0790944
    0.037203720     0.27346935     0.27346937     -7.0790944
